brand,mean_sale_price,cluster
haute hippie,70.33333333333333,4
haute monde,10.0,5
hawaiian original,21.0,1
hayley matthews,12.0,1
haystacks,8.0,5
heart & hips,12.0,1
hearts & hips,7.0,5
hearts & roses,25.0,3
hego,16.0,1
hell bunny,25.333333333333332,3
hello miss,10.0,5
hello molly,32.416666666666664,3
helmut lang,102.0,2
heloise fashion,12.666666666666666,1
her universe,16.666666666666668,1
heritage 1981,5.0,5
herve leger,197.0,2
hidden alley,60.0,4
highline,13.0,1
hillard & hanson,10.0,5
hillary hills,15.0,1
hilo hattie,21.0,1
hoamgar,128.0,2
hocus pocus,22.0,1
holding horses,28.5,3
holiday time,20.0,1
hollister,11.666666666666666,1
homeyee fashion,13.0,1
honey belle,20.0,1
honey punch,21.625,1
honeyme,17.0,1
horny toad,19.8,1
hot miami styles,30.0,3
hot topic,17.363636363636363,1
house of cb,76.11538461538461,4
house of harlow 1960,57.0,4
howard wolf,30.0,3
hugo boss,108.0,2
hummingbird,25.0,3
hunter for target,13.0,1
i love h81,9.0,5
i ma bella,8.0,5
i. madeline,22.5,1
i.c.e.,15.0,1
i.n. studio,13.0,1
ibex,50.0,4
ice,5.0,5
iconic luxe,5.0,5
icy fashion,13.0,1
idk,5.0,5
idol,27.0,3
igigi,20.4,1
ignite evenings,65.0,4
ile,10.5,5
illa illa,20.0,1
inc international concepts,18.22222222222222,1
indah,75.0,4
india boutique,16.0,1
indikah,28.0,3
infinity raine,20.75,1
ingrid & isabel,15.6,1
inso,23.0,3
iolani made in hawaii,33.0,3
iris,30.0,3
iro,40.0,3
iron fist,65.0,4
isaac mizrahi,74.5,4
isabel marant,90.0,4
isabella oliver,43.0,4
isabelle’s cabinet,30.0,3
ivanka trump,22.333333333333332,1
ivy blu,36.0,3
ivy jane,25.0,3
ivy park,25.0,3
iz byer,31.0,3
j,35.0,3
j gee,15.0,1
j. crew,29.095238095238095,3
j. crew factory,22.0,1
j. howard,12.0,1
j. jill,20.727272727272727,1
j. mclaughlin,45.2,4
j.o.a.,19.5,1
jaase,20.0,1
jack by bb dakota,21.0,1
jaclyn smith,5.0,5
jade,6.0,5
jade mackenzie,22.0,1
james perse,39.666666666666664,3
jams world,40.0,3
jane ashley,13.0,1
janette plus,14.0,1
january 7,10.0,5
jarlo,28.0,3
jasmine,69.0,4
jason wu,8.0,5
jason wu for target,47.333333333333336,4
jawbreaker,40.0,3
jax,10.5,5
jaygodfrey,55.0,4
jcpenney,35.0,3
jdy,32.0,3
jen's pirate booty,45.0,4
jennifer lopez,18.833333333333332,1
jennifer west,28.0,3
jenny yoo,139.16666666666666,2
jessica howard,22.444444444444443,1
jessica mcclintock,17.0,1
jessica simpson,22.4375,1
jigsaw,45.0,4
jill stuart,125.71428571428571,2
jj authentic,10.0,5
jj’s house,30.0,3
jluxlabel,38.0,3
jm collection,11.5,5
jngl,9.0,5
jodi kristopher,13.5,1
jodifl,38.0,3
johnnie m,8.0,5
johnny was,62.27777777777778,4
joie,34.125,3
jonathan martin,25.0,3
jones new york,20.818181818181817,1
jones wear,26.0,3
jones wear dress,8.0,5
joseph ribkoff,38.25,3
jovani,247.57142857142858,2
jr nites,7.0,5
jubilee clothe,30.0,3
jude connally,46.46153846153846,4
judith march,53.0,4
juicy couture,18.0,1
julian taylor,33.25,3
jump apparel co. by wendye choiten,20.0,1
june & hudson,20.0,1
june born in july,15.0,1
junees,15.0,1
junk food clothing,22.4,1
just cavalli,18.0,1
just for wraps,16.0,1
just me,15.0,1
just taylor,29.0,3
just...taylor,11.0,5
justfab,18.0,1
justmccoy,15.0,1
jw san francisco,13.0,1
kamali kulture,31.5,3
kardashian kollection,10.0,5
karen alexander,20.0,1
karen kane,25.0,3
karen millen,50.25,4
karen zambos,20.0,1
kari's korner,21.0,1
karin stevens,6.0,5
karl lagerfeld,31.0,3
karma highway,50.0,4
kasper,18.333333333333332,1
kate spade,73.07692307692308,4
kavu,20.0,1
kay unger,36.666666666666664,3
kayce hughes,15.0,1
kealopiko,15.0,1
kelly renee,11.0,5
kendall & kylie,26.333333333333332,3
kenneth cole,30.0,3
kenny classics,40.0,3
kensie,25.5,3
keren hart,12.0,1
killstar,31.4,3
kimchi blue,17.666666666666668,1
kirna zabete,13.333333333333334,1
kirra,5.0,5
kivari,70.0,4
kiyonna,40.8,3
kjansy,45.0,4
knot sisters,46.0,4
knox rose,18.25,1
kobi,10.0,5
komarov,55.0,4
kookai,45.0,4
kopal,50.0,4
kori,39.0,3
korsis,33.0,3
kut from the kloth,15.0,1
l'academie,60.0,4
l'atiste,26.0,3
l*space,30.0,3
l.a.m.b.,35.0,3
l.l. bean,23.333333333333332,3
la belle,12.0,1
la cera,9.0,5
la femme,55.0,4
la soul,35.0,3
lacoste,38.375,3
lafayette 148 new york,72.5,4
lands' end,18.875,1
lane bryant,21.857142857142858,1
lanvin,42.0,3
lapdance,11.0,5
lapdance lingerie,12.0,1
lapis,17.5,1
lark & ro,12.5,1
last exit,13.0,1
last tango,22.0,1
latched mama,27.666666666666668,3
lati fashion,8.0,5
laundry by design,42.0,3
laundry by shelli segal,36.25,3
laura ashley,30.0,3
lauren james,24.0,3
lauren moshi,100.0,2
lauren ralph lauren,29.9,3
laurence  kazar,199.0,2
laurence kazar,100.0,2
lazy oaf,75.0,4
lc lauren conrad,14.071428571428571,1
le lis,29.5,3
le suit,15.0,1
leg avenue,31.8,3
leith,24.88888888888889,3
lela rose,250.0,2
leonard paris,282.5,2
leota,22.666666666666668,1
leslie fay,31.0,3
let’s,15.0,1
level eight,8.0,5
lexington l avenue,15.0,1
lf,23.25,3
libby edelman,36.0,3
libian,15.0,1
likely,115.0,2
lilith,12.0,1
lilly pulitzer,44.517391304347825,4
lilly pulitzer for target,52.166666666666664,4
lilly rose,10.0,5
lily doe,45.0,4
lily rose,10.0,5
lily white,8.0,5
lilyandgypsy,30.0,3
lima bean boutique,64.0,4
lindy bop,29.333333333333332,3
line & dot,19.0,1
line up,23.0,3
lip service,15.0,1
little black dog boutique,40.0,3
littlegypsie,30.0,3
living doll,13.0,1
liz claiborne,16.75,1
liz lange,20.0,1
liz lange for target,11.0,5
liz roberts,15.0,1
llove,18.0,1
loft,18.68686868686869,1
logo by lori goldstein,20.333333333333332,1
lola,28.0,3
lolli couture,30.0,3
london style,25.0,3
london times,21.933333333333334,1
long tall sally,28.0,3
loose fitted harem dress,28.0,3
loose fitting maxi dress slit,45.0,4
lost + wander,81.0,4
lou & grey,23.1,3
loup,92.0,4
love + harmony,28.0,3
love 2 b free,5.0,5
love chesley,15.0,1
love culture,15.0,1
love first sight @ target,8.0,5
love in,20.5,1
love j,14.0,1
love moschino,63.5,4
love own,34.0,3
love reign,17.0,1
love republic,15.0,1
love riche,22.5,1
love stitch,35.857142857142854,3
love tree denim,10.0,5
"love, fire",16.5,1
love...ady,25.0,3
loveriche,24.0,3
lovers + friends,48.85,4
loveshackfancy,110.71428571428571,2
lovestitch,14.0,1
lpa,60.0,4
lucci lu,90.0,4
lucky brand,26.666666666666668,3
lucy & co,46.0,4
lucy in the,20.0,1
lucy in the sky,22.0,1
lucy paris,30.0,3
lucy wang,25.0,3
ludi,60.0,4
lularoe,19.443181818181817,1
lulu's,34.308056872037916,3
lululemon athletica,54.61538461538461,4
lulumari,45.0,4
lulus,50.0,4
lumier by bariano,58.0,4
lush,16.125,1
luvalot,28.0,3
luxe by carmen marc valvo,35.0,3
luxology,11.0,5
luxxel,19.5,1
l’amour le allure,75.0,4
m&s,25.0,3
mac duggal,107.33333333333333,2
macy's,22.0,1
made in britian,115.0,2
made of starlight,10.0,5
madewell,35.09722222222222,3
madewell - reserved for bundle,4.0,5
madison,9.0,5
madison leigh,14.5,1
maeseor,17.0,1
maeve,25.25,3
magaschoni,27.666666666666668,3
maggy london,24.291666666666668,3
magnolia pearl,175.0,2
mahi gold,30.0,3
main strip,25.0,3
maison garrison,55.0,4
maison jules,26.0,3
maje,129.75,2
majorelle,60.333333333333336,4
mango,22.75,3
maniju,38.5,3
manito,9.0,5
manuheali'i,32.0,3
mara hoffman,90.0,4
marai nevaeh boutique,20.0,1
marc by marc jacobs,54.5,4
marc jacobs,33.666666666666664,3
"marc, calvin, nine & catherine",80.0,4
marchesa,70.0,4
marciano,55.666666666666664,4
marco luxe,65.0,4
marie oliver,125.0,2
marilyn mills collection,40.0,3
marimekko,36.42857142857143,3
marina,24.0,3
market & spruce,12.0,1
marshalls,15.0,1
marvel,15.0,1
masquerade,55.0,4
massimo dutti,47.5,4
mata traders,21.0,1
matilda jane,29.0,3
matta,95.0,2
maurices,19.1,1
max edition,28.0,3
max studio,20.0,1
maxi,20.0,1
maxi dress,75.0,4
maxmara,40.0,3
may queen,117.0,2
maya,60.0,4
maya brooke,40.0,3
mayqueen,285.0,2
mbm unlimited,41.0,3
melissa mccarthy,51.0,4
menthe and mangrove,25.0,3
merci,30.0,3
meri skye,25.0,3
merona,15.8,1
merrell,25.0,3
meshki,25.0,3
metal mulisha,16.5,1
metaphor,34.0,3
metropark,22.0,1
mexicana,12.0,1
mfashions,23.0,3
mhl,45.0,4
mi golondrina,80.0,4
miami,10.0,5
miccostumes,18.0,1
michael costello,120.0,2
michael kors,25.533333333333335,3
michael michael kors,23.09090909090909,3
michael stars,17.5,1
michelangelo,30.0,3
mikarose,28.0,3
milly,58.25,4
milly of new york,38.6,3
mimi chica,29.0,3
mind code,10.0,5
mini chica,10.0,5
minkpink,30.0,3
minnie rose,17.0,1
minty,26.0,3
misa los angeles,102.14285714285714,2
mischa barton,39.0,3
misha collection,50.0,4
miss california,18.0,1
miss candyfloss,70.0,4
miss me,18.0,1
missguided,18.57894736842105,1
misslook,30.0,3
missoni,63.4,4
